"Thématiques","Critères","Tests","Home","About","Blog","FAQ","Sign Up","Sign In","Newsletter Enrollment","Legal Notices","General Terms of Sale"
"1","1","1","c|les textes alternatifs sont présents pas en anglais sur la version française",nc,nc,"nc","nc","nc","nc","nc","nc"
"1","1","2",na,"nc",nc,"nc","nc","nc","nc","nc","nc"
"1","1","3",na,nc,nc,"nc","nc","nc","nc","nc","nc"
"1","1","4",na,nc,"nc","nc","nc","nc","nc","nc","nc"
"1","1","5",nc|Logo Iroco : un lien avec un svg à l‘intérieur semble être problématique. Aussi des icones font awoseme utilisent le role aria `presentation` ,"nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","6",na,"nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","7",na,"nc","nc","nc","nc","nc","nc","nc","nc"
"1","1","8",na,"nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","1","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","2","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","3","na","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","4","nc|Inscription infolettre : les validation s de champs obligatoire ne se font qu‘avec un cadre rouge","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","5","c","nc","nc","nc","nc","nc","nc","nc","nc"
"3","1","6","c","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","1","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","2","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","1","3","na","nc","nc","nc","nc","nc","nc","nc","nc"
"4","10","1","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","3","1","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","1","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","2","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","3","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","4","na","nc","nc","nc","nc","nc","nc","nc","nc"
"5","7","5","na","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","1","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","2","nc|Logo Iroco n‘indique pas clairement le comportement auquel s‘attendre quand on clique dessus. Proposition : accueil Iroco. Mettre un aria label. Detecté facilement par Wave.","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","3","nc| Manque textes pour linkedin et twitter. Commun dans les autres pages","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","4","na","nc","nc","nc","nc","nc","nc","nc","nc"
"6","1","5","c","nc","nc","nc","nc","nc","nc","nc","nc"
"6","2","1","c","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"7","1","3","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"7","3","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"7","3","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"8","3","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"8","4","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"8","5","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"9","1","3","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"10","3","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"10","6","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"10","7","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","1","3","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","3","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","4","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","5","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","2","6","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","5","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","6","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","9","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","9","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","3","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","4","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","5","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","6","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"11","10","7","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"12","8","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"12","8","2","nc","nc","nc","nc","nc","nc","nc","nc","nc"
"12","9","1","nc","nc","nc","nc","nc","nc","nc","nc","nc"
